index,label,source
677,1,cifar10_test
678,0,cifar10_test
679,5,cifar10_test
680,9,cifar10_test
681,6,cifar10_test
682,4,cifar10_test
683,8,cifar10_test
684,9,cifar10_test
685,6,cifar10_test
686,9,cifar10_test
687,6,cifar10_test
688,3,cifar10_test
689,0,cifar10_test
690,3,cifar10_test
691,2,cifar10_test
692,2,cifar10_test
693,7,cifar10_test
694,8,cifar10_test
695,3,cifar10_test
696,8,cifar10_test
697,2,cifar10_test
698,7,cifar10_test
699,5,cifar10_test
700,7,cifar10_test
701,2,cifar10_test
702,4,cifar10_test
703,8,cifar10_test
704,7,cifar10_test
705,4,cifar10_test
706,2,cifar10_test
707,9,cifar10_test
708,8,cifar10_test
709,8,cifar10_test
710,6,cifar10_test
711,8,cifar10_test
712,8,cifar10_test
713,7,cifar10_test
714,4,cifar10_test
715,3,cifar10_test
716,3,cifar10_test
717,8,cifar10_test
718,4,cifar10_test
719,9,cifar10_test
720,4,cifar10_test
721,8,cifar10_test
722,8,cifar10_test
723,1,cifar10_test
724,8,cifar10_test
725,2,cifar10_test
726,1,cifar10_test
727,3,cifar10_test
728,6,cifar10_test
729,5,cifar10_test
730,4,cifar10_test
731,2,cifar10_test
732,7,cifar10_test
733,9,cifar10_test
734,9,cifar10_test
735,4,cifar10_test
736,1,cifar10_test
737,4,cifar10_test
738,1,cifar10_test
739,3,cifar10_test
740,2,cifar10_test
741,7,cifar10_test
742,0,cifar10_test
743,7,cifar10_test
744,9,cifar10_test
745,7,cifar10_test
746,6,cifar10_test
747,6,cifar10_test
748,2,cifar10_test
749,5,cifar10_test
750,9,cifar10_test
751,2,cifar10_test
752,9,cifar10_test
753,1,cifar10_test
754,2,cifar10_test
755,2,cifar10_test
756,6,cifar10_test
757,8,cifar10_test
758,2,cifar10_test
759,1,cifar10_test
760,3,cifar10_test
761,6,cifar10_test
762,6,cifar10_test
763,0,cifar10_test
764,1,cifar10_test
765,2,cifar10_test
766,7,cifar10_test
767,0,cifar10_test
768,5,cifar10_test
769,4,cifar10_test
770,6,cifar10_test
771,1,cifar10_test
772,6,cifar10_test
773,4,cifar10_test
774,0,cifar10_test
775,2,cifar10_test
776,2,cifar10_test
777,6,cifar10_test
778,0,cifar10_test
779,5,cifar10_test
780,9,cifar10_test
781,1,cifar10_test
782,7,cifar10_test
783,6,cifar10_test
784,7,cifar10_test
785,0,cifar10_test
786,3,cifar10_test
787,9,cifar10_test
788,6,cifar10_test
789,8,cifar10_test
790,3,cifar10_test
791,0,cifar10_test
792,3,cifar10_test
793,4,cifar10_test
794,7,cifar10_test
795,7,cifar10_test
796,1,cifar10_test
797,4,cifar10_test
798,7,cifar10_test
799,2,cifar10_test
800,7,cifar10_test
801,1,cifar10_test
802,4,cifar10_test
803,7,cifar10_test
804,4,cifar10_test
805,4,cifar10_test
806,8,cifar10_test
807,4,cifar10_test
808,7,cifar10_test
809,7,cifar10_test
810,5,cifar10_test
811,3,cifar10_test
812,7,cifar10_test
813,2,cifar10_test
814,0,cifar10_test
815,8,cifar10_test
816,9,cifar10_test
817,5,cifar10_test
818,8,cifar10_test
819,3,cifar10_test
820,6,cifar10_test
821,2,cifar10_test
822,0,cifar10_test
823,8,cifar10_test
824,7,cifar10_test
825,3,cifar10_test
826,7,cifar10_test
827,6,cifar10_test
828,5,cifar10_test
829,3,cifar10_test
830,1,cifar10_test
831,3,cifar10_test
832,2,cifar10_test
833,2,cifar10_test
834,5,cifar10_test
835,4,cifar10_test
836,1,cifar10_test
837,2,cifar10_test
838,9,cifar10_test
839,2,cifar10_test
840,7,cifar10_test
841,0,cifar10_test
842,7,cifar10_test
843,2,cifar10_test
844,1,cifar10_test
845,3,cifar10_test
846,2,cifar10_test
847,0,cifar10_test
848,2,cifar10_test
849,4,cifar10_test
850,7,cifar10_test
851,9,cifar10_test
852,8,cifar10_test
853,9,cifar10_test
854,0,cifar10_test
855,7,cifar10_test
856,7,cifar10_test
857,0,cifar10_test
858,7,cifar10_test
859,8,cifar10_test
860,4,cifar10_test
861,6,cifar10_test
862,3,cifar10_test
863,3,cifar10_test
864,0,cifar10_test
865,1,cifar10_test
866,3,cifar10_test
867,7,cifar10_test
868,0,cifar10_test
869,1,cifar10_test
870,3,cifar10_test
871,1,cifar10_test
872,4,cifar10_test
873,2,cifar10_test
874,3,cifar10_test
875,8,cifar10_test
876,4,cifar10_test
877,2,cifar10_test
878,3,cifar10_test
879,7,cifar10_test
880,8,cifar10_test
881,4,cifar10_test
882,3,cifar10_test
883,0,cifar10_test
884,9,cifar10_test
885,0,cifar10_test
886,0,cifar10_test
887,1,cifar10_test
888,0,cifar10_test
889,4,cifar10_test
890,4,cifar10_test
891,6,cifar10_test
892,7,cifar10_test
893,6,cifar10_test
894,1,cifar10_test
895,1,cifar10_test
896,3,cifar10_test
897,7,cifar10_test
898,3,cifar10_test
899,5,cifar10_test
900,2,cifar10_test
901,6,cifar10_test
902,6,cifar10_test
903,5,cifar10_test
904,8,cifar10_test
905,7,cifar10_test
906,1,cifar10_test
907,6,cifar10_test
908,8,cifar10_test
909,8,cifar10_test
910,5,cifar10_test
911,3,cifar10_test
912,0,cifar10_test
913,4,cifar10_test
914,0,cifar10_test
915,1,cifar10_test
916,3,cifar10_test
917,8,cifar10_test
918,8,cifar10_test
919,0,cifar10_test
920,6,cifar10_test
921,9,cifar10_test
922,9,cifar10_test
923,9,cifar10_test
924,5,cifar10_test
925,5,cifar10_test
926,8,cifar10_test
927,6,cifar10_test
928,0,cifar10_test
929,0,cifar10_test
930,4,cifar10_test
931,2,cifar10_test
932,3,cifar10_test
933,2,cifar10_test
934,7,cifar10_test
935,2,cifar10_test
936,2,cifar10_test
937,5,cifar10_test
938,9,cifar10_test
939,8,cifar10_test
940,9,cifar10_test
941,1,cifar10_test
942,7,cifar10_test
943,4,cifar10_test
944,0,cifar10_test
945,3,cifar10_test
946,0,cifar10_test
947,1,cifar10_test
948,3,cifar10_test
949,8,cifar10_test
950,3,cifar10_test
951,9,cifar10_test
952,6,cifar10_test
953,1,cifar10_test
954,4,cifar10_test
955,7,cifar10_test
956,0,cifar10_test
957,3,cifar10_test
958,7,cifar10_test
959,8,cifar10_test
960,9,cifar10_test
961,1,cifar10_test
962,1,cifar10_test
963,6,cifar10_test
964,6,cifar10_test
965,6,cifar10_test
966,6,cifar10_test
967,9,cifar10_test
968,1,cifar10_test
969,9,cifar10_test
970,9,cifar10_test
971,4,cifar10_test
972,2,cifar10_test
973,1,cifar10_test
974,7,cifar10_test
975,0,cifar10_test
976,6,cifar10_test
977,8,cifar10_test
978,1,cifar10_test
979,9,cifar10_test
980,2,cifar10_test
981,9,cifar10_test
982,0,cifar10_test
983,4,cifar10_test
984,7,cifar10_test
985,8,cifar10_test
986,3,cifar10_test
987,1,cifar10_test
988,2,cifar10_test
989,0,cifar10_test
990,1,cifar10_test
991,5,cifar10_test
992,8,cifar10_test
993,4,cifar10_test
994,6,cifar10_test
995,3,cifar10_test
996,8,cifar10_test
997,1,cifar10_test
998,3,cifar10_test
999,8,cifar10_test
1000,5,cifar10_test
1001,0,cifar10_test
1002,8,cifar10_test
1003,4,cifar10_test
1004,8,cifar10_test
1005,1,cifar10_test
1006,1,cifar10_test
1007,8,cifar10_test
1008,9,cifar10_test
1009,6,cifar10_test
1010,0,cifar10_test
1011,8,cifar10_test
1012,6,cifar10_test
1013,1,cifar10_test
1014,3,cifar10_test
1015,4,cifar10_test
1016,1,cifar10_test
1017,6,cifar10_test
1018,0,cifar10_test
1019,5,cifar10_test
1020,1,cifar10_test
1021,1,cifar10_test
1022,0,cifar10_test
1023,0,cifar10_test
1024,3,cifar10_test
1025,5,cifar10_test
1026,0,cifar10_test
1027,0,cifar10_test
1028,6,cifar10_test
1029,6,cifar10_test
1030,3,cifar10_test
1031,3,cifar10_test
1032,6,cifar10_test
1033,3,cifar10_test
1034,6,cifar10_test
1035,6,cifar10_test
1036,0,cifar10_test
1037,7,cifar10_test
1038,2,cifar10_test
1039,2,cifar10_test
1040,7,cifar10_test
1041,5,cifar10_test
1042,5,cifar10_test
1043,2,cifar10_test
1044,8,cifar10_test
1045,5,cifar10_test
1046,2,cifar10_test
1047,1,cifar10_test
1048,1,cifar10_test
1049,4,cifar10_test
1050,3,cifar10_test
1051,2,cifar10_test
1052,0,cifar10_test
1053,3,cifar10_test
1054,1,cifar10_test
1055,5,cifar10_test
1056,3,cifar10_test
1057,7,cifar10_test
1058,6,cifar10_test
1059,8,cifar10_test
1060,9,cifar10_test
1061,1,cifar10_test
1062,6,cifar10_test
1063,4,cifar10_test
1064,9,cifar10_test
1065,3,cifar10_test
1066,9,cifar10_test
1067,0,cifar10_test
1068,9,cifar10_test
1069,6,cifar10_test
1070,3,cifar10_test
1071,6,cifar10_test
1072,0,cifar10_test
1073,7,cifar10_test
1074,3,cifar10_test
1075,8,cifar10_test
1076,0,cifar10_test
1077,0,cifar10_test
1078,0,cifar10_test
1079,6,cifar10_test
1080,6,cifar10_test
1081,6,cifar10_test
1082,9,cifar10_test
1083,2,cifar10_test
1084,5,cifar10_test
1085,4,cifar10_test
1086,4,cifar10_test
1087,6,cifar10_test
1088,3,cifar10_test
1089,6,cifar10_test
1090,0,cifar10_test
1091,8,cifar10_test
1092,6,cifar10_test
1093,0,cifar10_test
1094,6,cifar10_test
1095,2,cifar10_test
1096,7,cifar10_test
1097,5,cifar10_test
1098,1,cifar10_test
1099,2,cifar10_test
1100,7,cifar10_test
1101,8,cifar10_test
1102,8,cifar10_test
1103,0,cifar10_test
1104,9,cifar10_test
1105,4,cifar10_test
1106,9,cifar10_test
1107,7,cifar10_test
1108,2,cifar10_test
1109,0,cifar10_test
1110,2,cifar10_test
1111,8,cifar10_test
1112,3,cifar10_test
1113,8,cifar10_test
1114,9,cifar10_test
1115,1,cifar10_test
1116,5,cifar10_test
1117,5,cifar10_test
1118,4,cifar10_test
1119,7,cifar10_test
1120,5,cifar10_test
1121,3,cifar10_test
1122,8,cifar10_test
1123,3,cifar10_test
1124,3,cifar10_test
1125,6,cifar10_test
1126,2,cifar10_test
1127,8,cifar10_test
1128,4,cifar10_test
1129,3,cifar10_test
1130,7,cifar10_test
1131,1,cifar10_test
1132,2,cifar10_test
1133,4,cifar10_test
1134,1,cifar10_test
1135,6,cifar10_test
1136,9,cifar10_test
1137,0,cifar10_test
1138,5,cifar10_test
1139,8,cifar10_test
1140,6,cifar10_test
1141,1,cifar10_test
1142,8,cifar10_test
1143,6,cifar10_test
1144,1,cifar10_test
1145,4,cifar10_test
1146,2,cifar10_test
1147,6,cifar10_test
1148,2,cifar10_test
1149,7,cifar10_test
1150,2,cifar10_test
1151,2,cifar10_test
1152,0,cifar10_test
1153,8,cifar10_test
1154,6,cifar10_test
1155,9,cifar10_test
1156,1,cifar10_test
1157,7,cifar10_test
1158,1,cifar10_test
1159,8,cifar10_test
1160,8,cifar10_test
1161,0,cifar10_test
1162,7,cifar10_test
1163,3,cifar10_test
1164,8,cifar10_test
1165,0,cifar10_test
1166,3,cifar10_test
1167,4,cifar10_test
1168,3,cifar10_test
1169,7,cifar10_test
1170,7,cifar10_test
1171,9,cifar10_test
1172,2,cifar10_test
1173,3,cifar10_test
1174,1,cifar10_test
1175,9,cifar10_test
1176,1,cifar10_test
1177,9,cifar10_test
1178,6,cifar10_test
1179,3,cifar10_test
1180,3,cifar10_test
1181,3,cifar10_test
1182,1,cifar10_test
1183,0,cifar10_test
1184,6,cifar10_test
1185,1,cifar10_test
1186,4,cifar10_test
1187,1,cifar10_test
1188,0,cifar10_test
1189,0,cifar10_test
1190,1,cifar10_test
1191,1,cifar10_test
1192,6,cifar10_test
1193,5,cifar10_test
1194,4,cifar10_test
1195,6,cifar10_test
1196,2,cifar10_test
1197,0,cifar10_test
1198,7,cifar10_test
1199,9,cifar10_test
1200,8,cifar10_test
1201,7,cifar10_test
1202,2,cifar10_test
1203,0,cifar10_test
1204,6,cifar10_test
1205,8,cifar10_test
1206,1,cifar10_test
1207,4,cifar10_test
1208,3,cifar10_test
1209,7,cifar10_test
1210,0,cifar10_test
1211,6,cifar10_test
1212,1,cifar10_test
1213,8,cifar10_test
1214,5,cifar10_test
1215,7,cifar10_test
1216,8,cifar10_test
1217,4,cifar10_test
1218,8,cifar10_test
1219,3,cifar10_test
1220,9,cifar10_test
1221,9,cifar10_test
1222,9,cifar10_test
1223,8,cifar10_test
1224,7,cifar10_test
1225,6,cifar10_test
1226,6,cifar10_test
1227,3,cifar10_test
1228,5,cifar10_test
1229,1,cifar10_test
1230,5,cifar10_test
1231,9,cifar10_test
1232,1,cifar10_test
1233,4,cifar10_test
1234,1,cifar10_test
1235,5,cifar10_test
1236,7,cifar10_test
1237,0,cifar10_test
1238,1,cifar10_test
1239,5,cifar10_test
1240,2,cifar10_test
1241,0,cifar10_test
1242,8,cifar10_test
1243,8,cifar10_test
1244,5,cifar10_test
1245,6,cifar10_test
1246,7,cifar10_test
1247,3,cifar10_test
1248,2,cifar10_test
1249,4,cifar10_test
1250,7,cifar10_test
1251,2,cifar10_test
1252,5,cifar10_test
1253,8,cifar10_test
1254,2,cifar10_test
1255,4,cifar10_test
1256,9,cifar10_test
1257,2,cifar10_test
1258,1,cifar10_test
1259,8,cifar10_test
1260,1,cifar10_test
1261,9,cifar10_test
1262,8,cifar10_test
1263,8,cifar10_test
1264,8,cifar10_test
1265,9,cifar10_test
1266,0,cifar10_test
1267,4,cifar10_test
1268,3,cifar10_test
1269,3,cifar10_test
1270,1,cifar10_test
1271,8,cifar10_test
1272,4,cifar10_test
1273,6,cifar10_test
1274,3,cifar10_test
1275,3,cifar10_test
1276,5,cifar10_test
1277,2,cifar10_test
1278,2,cifar10_test
1279,8,cifar10_test
1280,3,cifar10_test
1281,8,cifar10_test
1282,9,cifar10_test
1283,5,cifar10_test
1284,8,cifar10_test
1285,9,cifar10_test
1286,8,cifar10_test
1287,9,cifar10_test
1288,1,cifar10_test
1289,6,cifar10_test
1290,5,cifar10_test
1291,9,cifar10_test
1292,4,cifar10_test
1293,4,cifar10_test
1294,8,cifar10_test
1295,0,cifar10_test
1296,7,cifar10_test
1297,2,cifar10_test
1298,9,cifar10_test
1299,7,cifar10_test
1300,4,cifar10_test
1301,1,cifar10_test
1302,6,cifar10_test
1303,4,cifar10_test
1304,4,cifar10_test
1305,9,cifar10_test
1306,1,cifar10_test
1307,2,cifar10_test
1308,5,cifar10_test
1309,6,cifar10_test
1310,0,cifar10_test
1311,8,cifar10_test
1312,6,cifar10_test
1313,1,cifar10_test
1314,9,cifar10_test
1315,4,cifar10_test
1316,5,cifar10_test
1317,9,cifar10_test
1318,5,cifar10_test
1319,0,cifar10_test
1320,7,cifar10_test
1321,2,cifar10_test
1322,0,cifar10_test
1323,0,cifar10_test
1324,4,cifar10_test
1325,2,cifar10_test
1326,6,cifar10_test
1327,6,cifar10_test
1328,5,cifar10_test
1329,5,cifar10_test
1330,2,cifar10_test
1331,8,cifar10_test
1332,1,cifar10_test
1333,7,cifar10_test
1334,3,cifar10_test
1335,1,cifar10_test
1336,4,cifar10_test
1337,5,cifar10_test
1338,6,cifar10_test
1339,5,cifar10_test
1340,1,cifar10_test
1341,4,cifar10_test
1342,7,cifar10_test
1343,0,cifar10_test
1344,9,cifar10_test
1345,4,cifar10_test
1346,3,cifar10_test
1347,8,cifar10_test
1348,2,cifar10_test
1349,8,cifar10_test
1350,4,cifar10_test
1351,7,cifar10_test
1352,2,cifar10_test
1353,3,cifar10_test
1354,1,cifar10_test
1355,5,cifar10_test
1356,2,cifar10_test
1357,9,cifar10_test
1358,8,cifar10_test
1359,9,cifar10_test
1360,7,cifar10_test
1361,9,cifar10_test
1362,5,cifar10_test
1363,1,cifar10_test
1364,4,cifar10_test
1365,0,cifar10_test
1366,8,cifar10_test
1367,2,cifar10_test
1368,3,cifar10_test
1369,8,cifar10_test
1370,9,cifar10_test
1371,1,cifar10_test
1372,1,cifar10_test
1373,3,cifar10_test
1374,2,cifar10_test
1375,4,cifar10_test
1376,9,cifar10_test
1377,3,cifar10_test
1378,1,cifar10_test
1379,7,cifar10_test
1380,4,cifar10_test
1381,6,cifar10_test
1382,2,cifar10_test
1383,8,cifar10_test
1384,9,cifar10_test
1385,5,cifar10_test
1386,3,cifar10_test
1387,9,cifar10_test
1388,5,cifar10_test
1389,5,cifar10_test
1390,6,cifar10_test
1391,7,cifar10_test
1392,2,cifar10_test
1393,4,cifar10_test
1394,6,cifar10_test
1395,3,cifar10_test
1396,1,cifar10_test
1397,0,cifar10_test
1398,7,cifar10_test
1399,2,cifar10_test
1400,5,cifar10_test
1401,4,cifar10_test
1402,7,cifar10_test
1403,6,cifar10_test
1404,1,cifar10_test
1405,1,cifar10_test
1406,9,cifar10_test
1407,8,cifar10_test
1408,1,cifar10_test
1409,0,cifar10_test
1410,1,cifar10_test
1411,3,cifar10_test
1412,1,cifar10_test
1413,1,cifar10_test
1414,1,cifar10_test
1415,7,cifar10_test
1416,3,cifar10_test
1417,9,cifar10_test
1418,6,cifar10_test
1419,8,cifar10_test
1420,4,cifar10_test
1421,6,cifar10_test
1422,8,cifar10_test
1423,4,cifar10_test
1424,9,cifar10_test
1425,4,cifar10_test
1426,7,cifar10_test
1427,9,cifar10_test
1428,7,cifar10_test
1429,6,cifar10_test
1430,8,cifar10_test
1431,4,cifar10_test
1432,9,cifar10_test
1433,7,cifar10_test
1434,0,cifar10_test
1435,1,cifar10_test
1436,6,cifar10_test
1437,1,cifar10_test
1438,5,cifar10_test
1439,9,cifar10_test
1440,0,cifar10_test
1441,4,cifar10_test
1442,3,cifar10_test
1443,4,cifar10_test
1444,1,cifar10_test
1445,3,cifar10_test
1446,0,cifar10_test
1447,8,cifar10_test
1448,4,cifar10_test
1449,6,cifar10_test
1450,2,cifar10_test
1451,2,cifar10_test
1452,6,cifar10_test
1453,5,cifar10_test
1454,3,cifar10_test
1455,6,cifar10_test
1456,2,cifar10_test
1457,1,cifar10_test
1458,1,cifar10_test
1459,8,cifar10_test
1460,6,cifar10_test
1461,0,cifar10_test
1462,4,cifar10_test
1463,0,cifar10_test
1464,1,cifar10_test
1465,9,cifar10_test
1466,7,cifar10_test
1467,1,cifar10_test
1468,3,cifar10_test
1469,7,cifar10_test
1470,7,cifar10_test
1471,8,cifar10_test
1472,7,cifar10_test
1473,7,cifar10_test
1474,3,cifar10_test
1475,9,cifar10_test
1476,7,cifar10_test
1477,7,cifar10_test
1478,7,cifar10_test
1479,2,cifar10_test
1480,1,cifar10_test
1481,2,cifar10_test
1482,8,cifar10_test
1483,6,cifar10_test
1484,4,cifar10_test
1485,0,cifar10_test
1486,7,cifar10_test
1487,9,cifar10_test
1488,8,cifar10_test
1489,6,cifar10_test
1490,8,cifar10_test
1491,4,cifar10_test
1492,9,cifar10_test
1493,1,cifar10_test
1494,7,cifar10_test
1495,2,cifar10_test
1496,2,cifar10_test
1497,8,cifar10_test
1498,5,cifar10_test
1499,8,cifar10_test
1500,1,cifar10_test
1501,2,cifar10_test
1502,2,cifar10_test
1503,4,cifar10_test
1504,1,cifar10_test
1505,2,cifar10_test
1506,5,cifar10_test
1507,2,cifar10_test
1508,8,cifar10_test
1509,1,cifar10_test
1510,8,cifar10_test
1511,1,cifar10_test
