index,label,dataset_split,source
102,9,train,cifar10
103,6,train,cifar10
104,6,train,cifar10
105,1,train,cifar10
106,8,train,cifar10
107,5,train,cifar10
108,2,train,cifar10
109,9,train,cifar10
110,9,train,cifar10
111,8,train,cifar10
112,1,train,cifar10
113,7,train,cifar10
114,7,train,cifar10
115,0,train,cifar10
116,0,train,cifar10
117,6,train,cifar10
118,9,train,cifar10
119,1,train,cifar10
120,2,train,cifar10
121,2,train,cifar10
122,9,train,cifar10
123,2,train,cifar10
124,6,train,cifar10
125,6,train,cifar10
126,1,train,cifar10
127,9,train,cifar10
128,5,train,cifar10
129,0,train,cifar10
130,4,train,cifar10
131,7,train,cifar10
132,6,train,cifar10
133,7,train,cifar10
134,1,train,cifar10
135,8,train,cifar10
136,1,train,cifar10
137,1,train,cifar10
138,2,train,cifar10
139,8,train,cifar10
140,1,train,cifar10
141,3,train,cifar10
142,3,train,cifar10
143,6,train,cifar10
144,2,train,cifar10
145,4,train,cifar10
146,9,train,cifar10
147,9,train,cifar10
148,5,train,cifar10
149,4,train,cifar10
150,3,train,cifar10
151,6,train,cifar10
152,7,train,cifar10
153,4,train,cifar10
154,6,train,cifar10
155,8,train,cifar10
156,5,train,cifar10
157,5,train,cifar10
158,4,train,cifar10
159,3,train,cifar10
160,1,train,cifar10
161,8,train,cifar10
162,4,train,cifar10
163,7,train,cifar10
164,6,train,cifar10
165,0,train,cifar10
166,9,train,cifar10
167,5,train,cifar10
168,1,train,cifar10
169,3,train,cifar10
170,8,train,cifar10
171,2,train,cifar10
172,7,train,cifar10
173,5,train,cifar10
174,3,train,cifar10
175,4,train,cifar10
176,1,train,cifar10
177,5,train,cifar10
178,7,train,cifar10
179,0,train,cifar10
180,4,train,cifar10
181,7,train,cifar10
182,5,train,cifar10
183,5,train,cifar10
184,1,train,cifar10
185,0,train,cifar10
186,9,train,cifar10
187,6,train,cifar10
188,9,train,cifar10
189,0,train,cifar10
190,8,train,cifar10
191,7,train,cifar10
192,8,train,cifar10
193,8,train,cifar10
194,2,train,cifar10
195,5,train,cifar10
196,2,train,cifar10
197,3,train,cifar10
198,5,train,cifar10
199,0,train,cifar10
200,6,train,cifar10
201,1,train,cifar10
202,9,train,cifar10
203,3,train,cifar10
204,6,train,cifar10
205,9,train,cifar10
206,1,train,cifar10
207,3,train,cifar10
208,9,train,cifar10
209,6,train,cifar10
210,6,train,cifar10
211,7,train,cifar10
212,1,train,cifar10
213,0,train,cifar10
214,9,train,cifar10
215,5,train,cifar10
216,8,train,cifar10
217,5,train,cifar10
218,2,train,cifar10
219,9,train,cifar10
220,0,train,cifar10
221,8,train,cifar10
222,8,train,cifar10
223,0,train,cifar10
224,6,train,cifar10
225,9,train,cifar10
226,1,train,cifar10
227,1,train,cifar10
228,6,train,cifar10
229,3,train,cifar10
230,7,train,cifar10
231,6,train,cifar10
232,6,train,cifar10
233,0,train,cifar10
234,6,train,cifar10
235,6,train,cifar10
236,1,train,cifar10
237,7,train,cifar10
238,1,train,cifar10
239,5,train,cifar10
240,8,train,cifar10
241,3,train,cifar10
242,6,train,cifar10
243,6,train,cifar10
244,8,train,cifar10
245,6,train,cifar10
246,8,train,cifar10
247,4,train,cifar10
248,6,train,cifar10
249,6,train,cifar10
250,1,train,cifar10
251,3,train,cifar10
252,8,train,cifar10
253,3,train,cifar10
254,4,train,cifar10
255,1,train,cifar10
256,7,train,cifar10
257,1,train,cifar10
258,3,train,cifar10
259,8,train,cifar10
260,5,train,cifar10
261,1,train,cifar10
262,1,train,cifar10
263,4,train,cifar10
264,0,train,cifar10
265,9,train,cifar10
266,3,train,cifar10
267,7,train,cifar10
268,4,train,cifar10
269,9,train,cifar10
270,9,train,cifar10
271,2,train,cifar10
272,4,train,cifar10
273,9,train,cifar10
274,9,train,cifar10
275,1,train,cifar10
276,0,train,cifar10
277,5,train,cifar10
278,9,train,cifar10
279,0,train,cifar10
280,8,train,cifar10
281,2,train,cifar10
282,1,train,cifar10
283,2,train,cifar10
284,0,train,cifar10
285,5,train,cifar10
286,6,train,cifar10
287,3,train,cifar10
288,2,train,cifar10
289,7,train,cifar10
290,8,train,cifar10
291,8,train,cifar10
292,6,train,cifar10
293,0,train,cifar10
294,7,train,cifar10
295,9,train,cifar10
296,4,train,cifar10
297,5,train,cifar10
298,6,train,cifar10
299,4,train,cifar10
300,2,train,cifar10
301,1,train,cifar10
302,1,train,cifar10
303,2,train,cifar10
304,1,train,cifar10
305,5,train,cifar10
306,9,train,cifar10
307,9,train,cifar10
308,0,train,cifar10
309,8,train,cifar10
310,4,train,cifar10
311,1,train,cifar10
312,1,train,cifar10
313,6,train,cifar10
314,3,train,cifar10
315,3,train,cifar10
316,9,train,cifar10
317,0,train,cifar10
318,7,train,cifar10
319,9,train,cifar10
320,7,train,cifar10
321,7,train,cifar10
322,9,train,cifar10
323,1,train,cifar10
324,5,train,cifar10
325,1,train,cifar10
326,6,train,cifar10
327,6,train,cifar10
328,8,train,cifar10
329,7,train,cifar10
330,1,train,cifar10
331,3,train,cifar10
332,0,train,cifar10
333,3,train,cifar10
334,3,train,cifar10
335,2,train,cifar10
336,4,train,cifar10
337,5,train,cifar10
338,7,train,cifar10
339,5,train,cifar10
340,9,train,cifar10
341,0,train,cifar10
342,3,train,cifar10
343,4,train,cifar10
344,0,train,cifar10
345,4,train,cifar10
346,4,train,cifar10
347,6,train,cifar10
348,0,train,cifar10
349,0,train,cifar10
350,6,train,cifar10
351,6,train,cifar10
352,0,train,cifar10
353,8,train,cifar10
354,1,train,cifar10
355,6,train,cifar10
356,2,train,cifar10
357,9,train,cifar10
358,2,train,cifar10
359,5,train,cifar10
360,9,train,cifar10
361,6,train,cifar10
362,7,train,cifar10
363,4,train,cifar10
364,1,train,cifar10
365,8,train,cifar10
366,7,train,cifar10
367,3,train,cifar10
368,6,train,cifar10
369,9,train,cifar10
370,3,train,cifar10
371,0,train,cifar10
372,4,train,cifar10
373,0,train,cifar10
374,5,train,cifar10
375,1,train,cifar10
376,0,train,cifar10
377,3,train,cifar10
378,4,train,cifar10
379,8,train,cifar10
380,5,train,cifar10
381,4,train,cifar10
382,7,train,cifar10
383,2,train,cifar10
384,3,train,cifar10
385,9,train,cifar10
386,7,train,cifar10
387,6,train,cifar10
388,7,train,cifar10
389,1,train,cifar10
390,4,train,cifar10
391,7,train,cifar10
392,0,train,cifar10
393,1,train,cifar10
394,7,train,cifar10
395,3,train,cifar10
396,1,train,cifar10
397,8,train,cifar10
398,4,train,cifar10
399,4,train,cifar10
400,2,train,cifar10
401,0,train,cifar10
402,2,train,cifar10
403,2,train,cifar10
404,0,train,cifar10
405,0,train,cifar10
406,9,train,cifar10
407,0,train,cifar10
408,9,train,cifar10
409,6,train,cifar10
410,8,train,cifar10
411,2,train,cifar10
412,7,train,cifar10
413,7,train,cifar10
414,4,train,cifar10
415,0,train,cifar10
416,3,train,cifar10
417,0,train,cifar10
418,8,train,cifar10
419,9,train,cifar10
420,4,train,cifar10
421,2,train,cifar10
422,7,train,cifar10
423,2,train,cifar10
424,5,train,cifar10
425,2,train,cifar10
426,5,train,cifar10
427,1,train,cifar10
428,9,train,cifar10
429,4,train,cifar10
430,8,train,cifar10
431,5,train,cifar10
432,1,train,cifar10
433,7,train,cifar10
434,4,train,cifar10
435,4,train,cifar10
436,0,train,cifar10
437,6,train,cifar10
438,9,train,cifar10
439,0,train,cifar10
440,7,train,cifar10
441,8,train,cifar10
442,8,train,cifar10
443,9,train,cifar10
444,9,train,cifar10
445,3,train,cifar10
446,3,train,cifar10
447,4,train,cifar10
448,0,train,cifar10
449,4,train,cifar10
450,5,train,cifar10
451,6,train,cifar10
452,6,train,cifar10
453,0,train,cifar10
454,1,train,cifar10
455,0,train,cifar10
456,8,train,cifar10
457,0,train,cifar10
458,4,train,cifar10
459,8,train,cifar10
460,8,train,cifar10
461,1,train,cifar10
462,5,train,cifar10
463,2,train,cifar10
464,6,train,cifar10
465,8,train,cifar10
466,1,train,cifar10
467,0,train,cifar10
468,0,train,cifar10
469,7,train,cifar10
470,7,train,cifar10
471,5,train,cifar10
472,9,train,cifar10
473,6,train,cifar10
474,2,train,cifar10
475,8,train,cifar10
476,3,train,cifar10
477,4,train,cifar10
478,7,train,cifar10
479,3,train,cifar10
480,9,train,cifar10
481,0,train,cifar10
482,1,train,cifar10
483,2,train,cifar10
484,4,train,cifar10
485,8,train,cifar10
486,1,train,cifar10
487,8,train,cifar10
488,6,train,cifar10
489,4,train,cifar10
490,4,train,cifar10
491,5,train,cifar10
492,7,train,cifar10
493,1,train,cifar10
494,3,train,cifar10
495,9,train,cifar10
496,8,train,cifar10
497,0,train,cifar10
498,1,train,cifar10
499,7,train,cifar10
500,5,train,cifar10
501,8,train,cifar10
502,2,train,cifar10
503,8,train,cifar10
504,0,train,cifar10
505,4,train,cifar10
506,1,train,cifar10
507,8,train,cifar10
508,9,train,cifar10
509,8,train,cifar10
510,2,train,cifar10
511,9,train,cifar10
